"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2183","Конвертация USD -> BYN с суммой 100","chromium","2026-04-07","passed","2026-04-07","Конвертер валют","currency-converter.spec.js","",""
"","1669","Конвертация EUR -> BYN с суммой 100","chromium","2026-04-07","passed","2026-04-07","Конвертер валют","currency-converter.spec.js","",""
"","1783","Конвертация USD -> BYN (проверка суммы 1000.5)","chromium","2026-04-07","passed","2026-04-07","Конвертер валют","currency-converter.spec.js","",""
"","2288","Главная страница конвертера открывается","chromium","2026-04-07","passed","2026-04-07","","ui.spec.js","",""
"","1715","Конвертация BYN -> EUR с суммой 100","chromium","2026-04-07","passed","2026-04-07","Конвертер валют","currency-converter.spec.js","",""
"","1552","Конвертация USD -> BYN (проверка суммы 100)","chromium","2026-04-07","passed","2026-04-07","Конвертер валют","currency-converter.spec.js","",""
"","1798","Конвертация USD -> BYN (проверка суммы 0)","chromium","2026-04-07","passed","2026-04-07","Конвертер валют","currency-converter.spec.js","",""
"","2657","Конвертация RUB -> BYN с суммой 100","chromium","2026-04-07","passed","2026-04-07","Конвертер валют","currency-converter.spec.js","",""
"","1677","Отрицательная сумма","chromium","2026-04-07","passed","2026-04-07","Негативные сценарии","currency-converter.spec.js","",""
"","1771","Конвертация валюты в саму себя","chromium","2026-04-07","passed","2026-04-07","Негативные сценарии","currency-converter.spec.js","",""
